id,tc_true,m1,m2,snr,event_type,duration
4,1262304037.2803,28.88,25.48,3.586,light_BBH,2.287
5,1262304043.6108,41.57,21.36,2.488,heavy_BBH,2.104
6,1262304052.7959,14.46,32.87,5.683,light_BBH,2.844
7,1262304059.8447,38.86,26.91,9.391,heavy_BBH,1.962
8,1262304067.6187,36.74,35.76,15.942,heavy_BBH,1.786
13,1262304108.3564,42.87,12.56,3.468,light_BBH,2.738
14,1262304117.5029,15.29,19.71,7.683,light_BBH,3.632
16,1262304132.3135,41.59,24.53,9.397,heavy_BBH,1.984
17,1262304140.9941,14.84,24.47,7.456,light_BBH,3.29
18,1262304148.2881,21.1,39.02,5.24,heavy_BBH,2.189
19,1262304157.5391,39.55,20.4,7.43,light_BBH,2.208
23,1262304189.9697,32.58,25.9,3.629,light_BBH,2.139
27,1262304219.1304,17.92,24.05,3.142,light_BBH,2.966
28,1262304227.1006,29.81,38.81,3.361,heavy_BBH,1.952
29,1262304238.2905,30.21,39.27,16.348,heavy_BBH,1.886
32,1262304261.2451,17.51,35.36,6.21,light_BBH,2.535
33,1262304267.2598,16.26,13.93,6.764,light_BBH,4.349
34,1262304278.2759,44.36,25.0,16.82,heavy_BBH,1.963
35,1262304284.0698,38.03,29.22,4.713,heavy_BBH,1.906
36,1262304293.4629,23.78,28.71,6.303,light_BBH,2.334
37,1262304300.085,44.13,44.37,13.129,heavy_BBH,1.535
38,1262304309.3276,18.98,36.71,9.652,light_BBH,2.341
39,1262304315.0146,31.72,43.11,10.33,heavy_BBH,1.837
40,1262304324.3936,12.87,30.33,3.319,light_BBH,3.146
42,1262304341.1714,17.57,41.0,6.822,light_BBH,2.359
43,1262304348.439,34.87,36.8,15.309,heavy_BBH,1.781
46,1262304371.1328,32.41,40.66,12.333,heavy_BBH,1.788
48,1262304388.8662,42.02,31.74,4.805,heavy_BBH,1.806
49,1262304397.7368,22.19,30.54,6.659,light_BBH,2.357
51,1262304414.1558,38.82,25.62,7.158,heavy_BBH,2.037
53,1262304427.3325,27.52,20.42,7.877,light_BBH,2.593
54,1262304436.707,23.57,44.51,6.077,heavy_BBH,1.984
57,1262304459.8257,41.4,32.49,5.087,heavy_BBH,1.808
58,1262304470.0044,41.97,38.56,5.939,heavy_BBH,1.661
59,1262304478.0312,14.49,28.04,8.82,light_BBH,3.133
61,1262304491.5103,41.52,22.88,6.186,heavy_BBH,2.066
62,1262304500.2524,30.83,26.08,6.255,light_BBH,2.185
63,1262304507.6221,31.54,24.57,11.205,light_BBH,2.26
67,1262304539.8135,36.7,24.17,9.221,heavy_BBH,2.087
68,1262304550.2114,20.12,24.01,10.329,light_BBH,2.783
69,1262304555.5034,12.73,38.72,17.5,light_BBH,2.843
70,1262304564.3306,36.11,34.98,5.432,heavy_BBH,1.835
71,1262304572.2793,26.86,14.51,7.435,light_BBH,3.167
73,1262304588.9854,23.93,32.24,19.245,light_BBH,2.259
74,1262304597.6152,37.02,35.92,6.408,heavy_BBH,1.789
76,1262304612.1099,31.47,26.24,2.061,light_BBH,2.155
77,1262304621.9634,18.14,34.6,6.032,light_BBH,2.479
78,1262304630.3525,15.17,25.21,14.896,light_BBH,3.214
79,1262304637.0078,21.24,31.33,10.251,light_BBH,2.41
80,1262304644.894,18.89,37.09,4.665,light_BBH,2.318
81,1262304653.1143,40.32,37.51,8.547,heavy_BBH,1.684
82,1262304661.687,21.36,30.08,7.646,light_BBH,2.433
83,1262304670.3149,12.35,25.41,5.959,light_BBH,3.619
84,1262304675.2217,34.25,17.76,18.133,light_BBH,2.54
85,1262304683.5269,39.43,19.09,16.33,light_BBH,2.312
87,1262304700.0454,37.73,27.46,15.54,heavy_BBH,1.96
88,1262304710.1377,25.36,12.13,7.556,light_BBH,3.618
89,1262304718.0361,37.5,28.55,12.218,heavy_BBH,1.956
90,1262304723.6929,35.91,20.11,8.768,light_BBH,2.289
98,1262304787.3369,15.0,15.28,16.571,light_BBH,4.292
99,1262304796.4648,12.05,31.33,5.996,light_BBH,3.306
102,1262304820.52,27.14,27.6,2.612,light_BBH,2.233
104,1262304836.9526,40.67,42.82,2.588,heavy_BBH,1.688
105,1262304845.9214,26.57,34.86,8.626,heavy_BBH,2.061
108,1262304870.1055,32.87,23.14,6.108,light_BBH,2.264
110,1262304884.6108,32.62,26.37,19.711,light_BBH,2.157
111,1262304892.1372,33.86,32.98,11.714,heavy_BBH,1.904
112,1262304902.313,39.71,12.87,7.622,light_BBH,2.791
115,1262304923.8398,29.99,12.88,17.204,light_BBH,3.187
116,1262304934.1567,30.13,32.65,6.569,heavy_BBH,2.027
120,1262304963.397,22.82,42.58,4.836,heavy_BBH,2.062
121,1262304972.9126,14.22,40.4,5.612,light_BBH,2.585
125,1262305006.0615,33.93,13.74,15.008,light_BBH,2.884
126,1262305013.9966,32.77,13.69,5.03,light_BBH,2.981
